time,flowcount
"03/01/2024, 22:08:44",1
"03/01/2024, 22:08:46",1
"03/01/2024, 22:08:48",1
"03/01/2024, 22:08:50",1
"03/01/2024, 22:08:52",1
"03/01/2024, 22:08:54",1
"03/01/2024, 22:08:56",1
"03/01/2024, 22:08:58",1
"03/01/2024, 22:09:00",1
"03/01/2024, 22:09:02",1
"03/01/2024, 22:09:04",1
"03/01/2024, 22:09:07",1
"03/01/2024, 22:09:08",1
"03/01/2024, 22:09:10",44
"03/01/2024, 22:09:12",73
"03/01/2024, 22:09:14",73
"03/01/2024, 22:09:16",73
"03/01/2024, 22:09:18",73
"03/01/2024, 22:09:20",73
"03/01/2024, 22:09:22",73
"03/01/2024, 22:09:24",73
"03/01/2024, 22:09:26",73
"03/01/2024, 22:09:28",73
"03/01/2024, 22:09:30",73
"03/01/2024, 22:09:32",73
"03/01/2024, 22:09:34",73
"03/01/2024, 22:09:36",73
"03/01/2024, 22:09:38",73
"03/01/2024, 22:09:40",73
"03/01/2024, 22:09:42",73
"03/01/2024, 22:09:44",73
"03/01/2024, 22:09:46",73
"03/01/2024, 22:09:48",73
"03/01/2024, 22:09:50",73
"03/01/2024, 22:09:52",73
"03/01/2024, 22:09:54",73
"03/01/2024, 22:09:57",73
"03/01/2024, 22:09:58",73
"03/01/2024, 22:10:00",73
"03/01/2024, 22:10:02",73
"03/01/2024, 22:10:04",73
"03/01/2024, 22:10:06",73
"03/01/2024, 22:10:08",73
"03/01/2024, 22:10:10",73
"03/01/2024, 22:10:12",73
"03/01/2024, 22:10:14",73
"03/01/2024, 22:10:16",73
"03/01/2024, 22:10:18",73
"03/01/2024, 22:10:20",73
"03/01/2024, 22:10:22",73
"03/01/2024, 22:10:24",73
"03/01/2024, 22:10:26",73
"03/01/2024, 22:10:28",73
"03/01/2024, 22:10:30",73
"03/01/2024, 22:10:32",73
"03/01/2024, 22:10:34",73
"03/01/2024, 22:10:36",73
"03/01/2024, 22:10:38",73
"03/01/2024, 22:10:40",73
"03/01/2024, 22:10:43",73
"03/01/2024, 22:10:44",73
"03/01/2024, 22:10:46",73
"03/01/2024, 22:10:48",73
"03/01/2024, 22:10:50",73
"03/01/2024, 22:10:52",73
"03/01/2024, 22:10:54",73
"03/01/2024, 22:10:56",73
"03/01/2024, 22:10:58",73
"03/01/2024, 22:11:01",73
"03/01/2024, 22:11:02",73
"03/01/2024, 22:11:04",73
"03/01/2024, 22:11:06",73
"03/01/2024, 22:11:09",73
"03/01/2024, 22:11:11",73
"03/01/2024, 22:11:13",73
"03/01/2024, 22:11:15",73
"03/01/2024, 22:11:17",73
"03/01/2024, 22:11:19",73
"03/01/2024, 22:11:21",73
"03/01/2024, 22:11:23",73
"03/01/2024, 22:11:25",73
"03/01/2024, 22:11:27",73
"03/01/2024, 22:11:29",73
"03/01/2024, 22:11:31",73
"03/01/2024, 22:11:33",73
"03/01/2024, 22:11:35",73
"03/01/2024, 22:11:37",73
"03/01/2024, 22:11:39",73
"03/01/2024, 22:11:41",73
"03/01/2024, 22:11:43",73
"03/01/2024, 22:11:45",73
"03/01/2024, 22:11:47",73
"03/01/2024, 22:11:49",73
"03/01/2024, 22:11:51",73
"03/01/2024, 22:11:53",73
"03/01/2024, 22:11:55",73
"03/01/2024, 22:11:57",73
"03/01/2024, 22:11:59",73
"03/01/2024, 22:12:01",73
"03/01/2024, 22:12:03",73
"03/01/2024, 22:12:05",73
"03/01/2024, 22:12:07",73
"03/01/2024, 22:12:09",73
"03/01/2024, 22:12:11",73
"03/01/2024, 22:12:13",73
"03/01/2024, 22:12:15",73
"03/01/2024, 22:12:17",73
"03/01/2024, 22:12:19",73
"03/01/2024, 22:12:21",73
"03/01/2024, 22:12:23",73
"03/01/2024, 22:12:25",73
"03/01/2024, 22:12:27",73
"03/01/2024, 22:12:29",73
"03/01/2024, 22:12:31",73
"03/01/2024, 22:12:33",73
"03/01/2024, 22:12:35",73
"03/01/2024, 22:12:37",73
"03/01/2024, 22:12:39",73
"03/01/2024, 22:12:41",73
"03/01/2024, 22:12:43",73
"03/01/2024, 22:12:45",73
"03/01/2024, 22:12:47",73
"03/01/2024, 22:12:49",73
"03/01/2024, 22:12:51",73
"03/01/2024, 22:12:53",73
"03/01/2024, 22:12:55",73
"03/01/2024, 22:12:57",73
"03/01/2024, 22:12:59",73
"03/01/2024, 22:13:01",73
"03/01/2024, 22:13:03",73
"03/01/2024, 22:13:05",73
"03/01/2024, 22:13:07",73
"03/01/2024, 22:13:09",73
"03/01/2024, 22:13:11",73
"03/01/2024, 22:13:13",73
"03/01/2024, 22:13:15",73
"03/01/2024, 22:13:17",73
"03/01/2024, 22:13:19",73
"03/01/2024, 22:13:21",73
"03/01/2024, 22:13:23",73
"03/01/2024, 22:13:25",73
"03/01/2024, 22:13:27",73
"03/01/2024, 22:13:29",73
"03/01/2024, 22:13:31",73
"03/01/2024, 22:13:33",73
"03/01/2024, 22:13:35",73
"03/01/2024, 22:13:37",73
"03/01/2024, 22:13:39",73
"03/01/2024, 22:13:41",73
"03/01/2024, 22:13:43",73
"03/01/2024, 22:13:45",73
"03/01/2024, 22:13:47",73
"03/01/2024, 22:13:49",73
